    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
         386        -4.128728e-01        -4.441120e-01         2.338129e-03
         387        -4.587950e-01        -4.441500e-01         2.332395e-03
         388        -4.890245e-01        -4.442656e-01         2.329249e-03
         389        -4.317184e-01        -4.442334e-01         2.323485e-03
         390        -4.319632e-01        -4.442019e-01         2.317740e-03
         391        -4.506171e-01        -4.442183e-01         2.311871e-03
         392        -4.528921e-01        -4.442404e-01         2.306079e-03
         393        -5.016141e-01        -4.443864e-01         2.304827e-03
         394        -4.638705e-01        -4.444359e-01         2.299508e-03
         395        -4.913650e-01        -4.445547e-01         2.296754e-03
         396        -4.362625e-01        -4.445338e-01         2.291049e-03
         397        -4.462838e-01        -4.445382e-01         2.285283e-03
         398        -4.528726e-01        -4.445591e-01         2.279637e-03
         399        -3.834578e-01        -4.444060e-01         2.279061e-03
         400        -4.615550e-01        -4.444488e-01         2.273767e-03
         401        -4.754291e-01        -4.445261e-01         2.269408e-03
         402        -4.315791e-01        -4.444939e-01         2.263992e-03
         403        -4.470978e-01        -4.445004e-01         2.258383e-03
         404        -4.545569e-01        -4.445252e-01         2.252930e-03
         405        -4.849942e-01        -4.446252e-01         2.249582e-03
         406        -4.526876e-01        -4.446450e-01         2.244129e-03
         407        -4.131552e-01        -4.445677e-01         2.239949e-03
         408        -4.137818e-01        -4.444922e-01         2.235729e-03
         409        -4.767563e-01        -4.445711e-01         2.231654e-03
         410        -4.590043e-01        -4.446063e-01         2.226489e-03
         411        -3.778504e-01        -4.444439e-01         2.226988e-03
         412        -4.354470e-01        -4.444220e-01         2.221690e-03
         413        -5.185914e-01        -4.446016e-01         2.223557e-03
         414        -3.411451e-01        -4.443517e-01         2.232184e-03
         415        -4.054842e-01        -4.442581e-01         2.228769e-03
         416        -4.432100e-01        -4.442555e-01         2.223413e-03
         417        -4.804916e-01        -4.443424e-01         2.219778e-03
         418        -3.917722e-01        -4.442167e-01         2.218028e-03
         419        -4.477944e-01        -4.442252e-01         2.212751e-03
         420        -4.518111e-01        -4.442433e-01         2.207556e-03
         421        -4.325762e-01        -4.442156e-01         2.202486e-03
         422        -4.791586e-01        -4.442984e-01         2.198823e-03
         423        -5.005040e-01        -4.444312e-01         2.197636e-03
         424        -4.765599e-01        -4.445070e-01         2.193759e-03
         425        -4.288301e-01        -4.444701e-01         2.188907e-03
         426        -4.884273e-01        -4.445733e-01         2.186200e-03
         427        -1.887589e-01        -4.439742e-01         2.261677e-03
         428        -5.530513e-01        -4.442291e-01         2.270707e-03
         429        -4.354016e-01        -4.442085e-01         2.265507e-03
         430        -4.339810e-01        -4.441847e-01         2.260363e-03
         431        -4.573634e-01        -4.442153e-01         2.255325e-03
         432        -4.337516e-01        -4.441911e-01         2.250235e-03
         433        -4.480359e-01        -4.441999e-01         2.245055e-03
         434        -4.534975e-01        -4.442214e-01         2.239985e-03
         435        -2.690486e-01        -4.438187e-01         2.270744e-03
         436        -4.224372e-01        -4.437696e-01         2.266066e-03
         437        -4.569808e-01        -4.437999e-01         2.261082e-03
         438        -4.707085e-01        -4.438613e-01         2.256754e-03
         439        -4.702450e-01        -4.439214e-01         2.252414e-03
         440        -4.343637e-01        -4.438997e-01         2.247399e-03
         441        -4.346323e-01        -4.438787e-01         2.242401e-03
         442        -5.133748e-01        -4.440359e-01         2.242833e-03
         443        -4.732595e-01        -4.441019e-01         2.238741e-03
