    #generation:          shortest_distance:          average_of_top_200:
         418              4.996578e+00                   5.007810e+00
         419              4.996578e+00                   5.049579e+00
         420              4.996578e+00                   5.088684e+00
         421              4.996578e+00                   5.054358e+00
         422              4.996578e+00                   5.017480e+00
         423              4.996578e+00                   5.035248e+00
         424              4.996578e+00                   5.015739e+00
         425              4.996578e+00                   5.028595e+00
         426              4.996578e+00                   5.010085e+00
         427              4.996578e+00                   5.005522e+00
         428              4.996578e+00                   5.032515e+00
         429              4.996578e+00                   5.062051e+00
         430              4.996578e+00                   4.997023e+00
         431              4.996578e+00                   4.996578e+00
         432              4.996578e+00                   4.996578e+00
         433              4.996578e+00                   4.996578e+00
         434              4.996578e+00                   4.996578e+00
         435              4.996578e+00                   4.996578e+00
         436              4.996578e+00                   4.996578e+00
         437              4.996578e+00                   4.996578e+00
         438              4.996578e+00                   4.997209e+00
         439              4.996578e+00                   4.996578e+00
         440              4.996578e+00                   4.999467e+00
         441              4.996578e+00                   4.998754e+00
         442              4.996578e+00                   5.001714e+00
         443              4.996578e+00                   5.010731e+00
         444              4.996578e+00                   4.996578e+00
         445              4.996578e+00                   4.996592e+00
         446              4.996578e+00                   5.017082e+00
         447              4.996578e+00                   4.999686e+00
         448              4.996578e+00                   4.996578e+00
         449              4.996578e+00                   4.996660e+00
         450              4.996578e+00                   5.001990e+00
         451              4.996578e+00                   4.996578e+00
         452              4.996578e+00                   5.006095e+00
         453              4.996578e+00                   5.006761e+00
         454              4.996578e+00                   4.997301e+00
         455              4.996578e+00                   5.015845e+00
         456              4.996578e+00                   5.021096e+00
         457              4.996578e+00                   4.997164e+00
         458              4.996578e+00                   4.996578e+00
         459              4.996578e+00                   4.996578e+00
         460              4.996578e+00                   4.999418e+00
         461              4.996578e+00                   5.004447e+00
         462              4.996578e+00                   4.996836e+00
         463              4.996578e+00                   5.003760e+00
         464              4.996578e+00                   4.998678e+00
         465              4.996578e+00                   5.003900e+00
         466              4.996578e+00                   5.059082e+00
         467              4.996578e+00                   5.087599e+00
